QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	429	37	14	23	5
QUAL	0	430	31	18	11	2
QUAL	0	431	38	19	17	1
QUAL	0	432	19	8	11	2
QUAL	0	433	33	17	16	7
QUAL	0	434	26	16	8	2
QUAL	0	435	22	15	7	1
QUAL	0	436	28	16	12	5
QUAL	0	437	20	8	12	2
QUAL	0	438	20	8	11	2
QUAL	0	439	20	8	11	1
QUAL	0	440	27	18	9	4
QUAL	0	441	17	10	6	3
QUAL	0	442	27	10	17	1
QUAL	0	443	20	9	10	3
QUAL	0	444	27	15	11	1
QUAL	0	445	33	21	10	1
QUAL	0	446	22	16	6	3
QUAL	0	447	27	17	9	0
QUAL	0	448	21	10	11	5
QUAL	0	449	22	9	11	0
QUAL	0	450	23	12	11	2
QUAL	0	451	25	16	8	2
QUAL	0	452	16	7	9	2
QUAL	0	453	29	17	12	2
QUAL	0	454	28	15	12	2
QUAL	0	455	24	11	12	3
QUAL	0	456	29	15	13	1
QUAL	0	457	21	9	12	0
QUAL	0	458	28	13	14	3
QUAL	0	459	29	18	11	2
QUAL	0	460	35	20	15	2
QUAL	0	461	33	17	16	0
QUAL	0	462	33	21	12	3
QUAL	0	463	25	11	14	5
QUAL	0	464	37	14	23	2
QUAL	0	465	29	12	16	2
QUAL	0	466	22	11	11	4
QUAL	0	467	23	6	17	0
QUAL	0	468	21	14	6	0
QUAL	0	469	25	15	9	1
QUAL	0	470	23	11	12	2
QUAL	0	471	34	15	19	0
QUAL	0	472	23	12	10	3
QUAL	0	473	26	15	10	3
QUAL	0	474	33	16	17	5
QUAL	0	475	22	11	11	3
QUAL	0	476	31	19	12	0
QUAL	0	477	33	21	11	2
QUAL	0	478	27	15	10	1
QUAL	0	479	28	15	12	0
QUAL	0	480	19	6	13	0
QUAL	0	481	19	12	7	3
QUAL	0	482	22	11	9	0
QUAL	0	483	31	13	17	2
QUAL	0	484	23	16	7	1
QUAL	0	485	25	15	9	2
QUAL	0	486	33	19	13	3
QUAL	0	487	34	16	16	1
QUAL	0	488	22	17	5	3
QUAL	0	489	22	11	11	2
QUAL	0	490	35	15	19	7
QUAL	0	491	17	10	7	1
QUAL	0	492	18	9	9	2
QUAL	0	493	25	15	8	1
QUAL	0	494	26	12	14	1
QUAL	0	495	32	17	13	2
QUAL	0	496	27	15	11	2
QUAL	0	497	23	13	9	4
QUAL	0	498	20	7	11	1
QUAL	0	499	28	16	11	1
QUAL	0	500	21	11	10	0
QUAL	0	501	37	16	21	6
QUAL	0	502	18	12	6	0
QUAL	0	503	31	19	12	0
QUAL	0	504	25	15	10	3
QUAL	0	505	27	14	13	0
QUAL	0	506	33	14	19	0
QUAL	0	507	19	9	10	3
QUAL	0	508	25	14	10	3
QUAL	0	509	21	14	7	4
QUAL	0	510	18	11	6	3
QUAL	0	511	22	10	12	3
QUAL	0	512	22	9	12	6
QUAL	0	513	18	8	10	2
QUAL	0	514	20	12	8	1
QUAL	0	515	27	12	14	3
QUAL	0	516	21	8	11	0
QUAL	0	517	36	14	21	3
QUAL	0	518	39	24	14	3
QUAL	0	519	30	19	10	3
QUAL	0	520	27	17	10	2
QUAL	0	521	15	8	7	0
QUAL	0	522	33	15	17	3
QUAL	0	523	27	14	12	2
QUAL	0	524	29	14	13	4
QUAL	0	525	21	13	8	2
QUAL	0	526	27	11	15	1
QUAL	0	527	25	8	14	0
QUAL	0	528	27	16	10	2
QUAL	0	529	31	18	12	2
QUAL	0	530	20	10	10	2
QUAL	0	531	20	12	7	0
QUAL	0	532	24	13	10	1
QUAL	0	533	18	9	9	3
QUAL	0	534	19	8	11	4
QUAL	0	535	23	13	9	1
QUAL	0	536	13	5	8	2
QUAL	0	537	27	10	17	3
QUAL	0	538	21	11	10	5
QUAL	0	539	22	15	7	0
