Old Specimen ID,DNA plate,DNA plate well,Specimen ID,Label,Adductor Sample,Shell Sample,Shell Length (cm - recorded by collection team),Tallest hinge height,Shell Length (mm - recorded by HGH),Estimate for Shell Length,Extracted,Species Diagnostic (RFLP)
SS0819_282,HGH Spisula #1,39,CUP0819_282,282,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_283,HGH Spisula #1,40,CUP0819_283,283,Yes,Yes,8,,80,80,10/3/19,S. solidisima
SS0819_284,HGH Spisula #1,41,CUP0819_284,284,Yes,Y,9.2,,92,92,10/3/19,S. solidisima
SS0819_285,HGH Spisula #1,42,CUP0819_285,285,Yes,Yes,8,,80,80,10/3/19,S. solidisima
SS0819_286,HGH Spisula #1,43,CUP0819_286,286,Yes,Partial,,,,,10/3/19,S. solidisima
SS0819_287,HGH Spisula #1,44,CUP0819_287,287,Yes,B,,,,,10/3/19,S. solidisima
SS0819_288,HGH Spisula #1,45,CUP0819_288,288,Yes,Partial,,,,,10/3/19,S. solidisima
SS0819_289,HGH Spisula #1,46,CUP0819_289,289,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_290,HGH Spisula #1,47,CUP0819_290,290,Yes,PI,,,,,10/3/19,S. solidisima
SS0819_291,HGH Spisula #1,48,CUP0819_291,291,Yes,BI,,,,,10/3/19,S. solidisima
SS0819_292,20200124pl1,56,CUP0819_292,292,Yes,BS,,,,,1/24/20,S. solidisima
SS0819_293,20200124pl1,57,CUP0819_293,293,Yes,Yes,8.5,,85,85,1/24/20,S. solidisima
SS0819_294,20200124pl1,58,CUP0819_294,294,Yes,Yes,6,,60,60,1/24/20,S. solidisima
SS0819_295,20200124pl1,59,CUP0819_295,295,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_296,20200124pl1,60,CUP0819_296,296,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_297,20200124pl1,61,CUP0819_297,297,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_298,20200124pl1,62,CUP0819_298,298,Yes,PS,,,,,1/24/20,S. solidisima
SS0819_299,20200124pl1,63,CUP0819_299,299,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_300,20200124pl1,64,CUP0819_300,300,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_301,20200124pl1,65,CUP0819_301,301,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_302,20200124pl1,66,CUP0819_302,302,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_303,20200124pl1,67,CUP0819_303,303,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_304,20200124pl1,68,CUP0819_304,304,Yes,YS,5.5,,55,55,1/24/20,S. solidisima
SS0819_305,20200124pl1,69,CUP0819_305,305,Yes,YI,8.1,36.8,83.7,83.7,1/24/20,S. solidisima
SS0819_306,20200124pl1,70,CUP0819_306,306,Yes,YI,7.3,,73,73,1/24/20,S. solidisima
SS0819_307,20200124pl1,71,CUP0819_307,307,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_308,20200124pl1,72,CUP0819_308,308,Yes,YI,2.9,,29.1,29.1,1/24/20,S. solidisima
SS0819_309,20200124pl1,73,CUP0819_309,309,Yes,YI,2.6,,28.2,28.2,1/24/20,S. solidisima
SS0819_310,20200124pl1,74,CUP0819_310,310,Yes,YI,3.1,,33.7,33.7,1/24/20,S. solidisima
SS0819_311,20200124pl1,75,CUP0819_311,311,Yes,YI,3.4,,35.5,35.5,1/24/20,S. solidisima
SS0819_312,20200124pl1,76,CUP0819_312,312,Yes,YI,3.3,,33.8,33.8,1/24/20,S. solidisima
SS0819_313,20200124pl1,77,CUP0819_313,313,Yes,YI,2.4,,25.2,25.2,1/24/20,S. solidisima
SS0819_314,20200124pl1,78,CUP0819_314,314,Yes,YI,2.5,,25.4,25.4,1/24/20,S. solidisima
SS0819_315,20200124pl1,79,CUP0819_315,315,Yes,N,6.8,,68,68,1/24/20,S. solidisima
SS0819_316,20200124pl1,80,CUP0819_316,316,Yes,YI,6.5,,65,65,1/24/20,S. solidisima
SS0819_317,20200124pl1,81,CUP0819_317,317,Yes,YI,8.5,,85,85,1/24/20,S. solidisima
SS0819_318,20200124pl1,82,CUP0819_318,318,Yes,YI,6.7,,67,67,1/24/20,S. solidisima
SS0819_319,20200124pl1,83,CUP0819_319,319,Yes,YI,7,,70,70,1/24/20,S. solidisima
SS0819_320,20200124pl1,84,CUP0819_320,320,Yes,YI,7.7,,77,77,1/24/20,S. solidisima
SS0819_321,20200124pl1,85,CUP0819_321,321,Yes,Yes,7.8,,78,78,1/24/20,S. solidisima
SS0819_322,20200124pl1,90,CUP0819_322,322,Yes,YI,7.1,,71,71,1/24/20,S. solidisima
SS0819_323,20200124pl1,91,CUP0819_323,323,Yes,YI,6.6,,66,66,1/24/20,S. solidisima
SS0819_324,20200124pl1,92,CUP0819_324,324,Yes,YI,7.4,,74,74,1/24/20,S. solidisima
SS0819_325,20200124pl1,93,CUP0819_325,325,Yes,YI,8.5,,85,85,1/24/20,S. solidisima
SS0819_326,20200124pl1,94,CUP0819_326,326,Yes,PI,,52.9,,127.139164,1/24/20,S. solidisima
SS0819_327,20200124pl1,95,CUP0819_327,327,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_328,20200124pl1,96,CUP0819_328,328,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_329,20200124pl2,5,CUP0819_329,329,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_330,,,CUP0819_330,330,Discarded,BI,,,,,,
SS0819_331,20200124pl2,6,CUP0819_331,331,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_332,20200124pl2,7,CUP0819_332,332,Yes,Yes,6.5,,65,65,1/24/20,S. solidisima
SS0819_333,20200124pl2,8,CUP0819_333,333,Yes,PI,6.7,,67,67,1/24/20,S. solidisima
SS0819_334,20200124pl2,9,CUP0819_334,334,Yes,Yes,7.2,,72,72,1/24/20,S. solidisima
SS0819_335,20200124pl2,10,CUP0819_335,335,Yes,YI,5.1,,51,51,1/24/20,S. solidisima
SS0819_336,20200124pl2,11,CUP0819_336,336,Yes,YI,3.5,,35.2,35.2,1/24/20,S. solidisima
SS0819_337,20200124pl2,12,CUP0819_337,337,Yes,YI,3.2,,33.2,33.2,1/24/20,S. solidisima
SS0819_338,20200124pl2,13,CUP0819_338,338,Yes,YI,6.6,,66,66,1/24/20,S. solidisima
SS0819_339,20200124pl2,14,CUP0819_339,339,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_340,20200124pl2,15,CUP0819_340,340,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_341,20200124pl2,16,CUP0819_341,341,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_342,20200124pl2,17,CUP0819_342,342,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_343,20200124pl2,18,CUP0819_343,343,Yes,BI,,,,,1/24/20,S. solidisima
SS0819_344,20200124pl2,19,CUP0819_344,344,Yes,YI,,,,,1/24/20,S. solidisima
SS0819_345,20200124pl2,20,CUP0819_345,345,Yes,Broken,,,,,1/24/20,S. solidisima
SS0819_346,20200124pl2,21,CUP0819_346,346,Yes,PI,,37.4,,89.88666793,1/24/20,S. solidisima
SS0819_347,20200124pl2,22,CUP0819_347,347,Yes,N,6.6,,66,66,1/24/20,S. solidisima
SS0819_348,20200124pl2,23,CUP0819_348,348,Yes,YI,7.2,,72,72,1/24/20,S. solidisima
