DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	348	0	0.000000	4	0.001510
DP	0	349	0	0.000000	6	0.002265
DP	0	350	0	0.000000	7	0.002643
DP	0	351	0	0.000000	11	0.004153
DP	0	352	0	0.000000	7	0.002643
DP	0	353	0	0.000000	5	0.001888
DP	0	354	0	0.000000	5	0.001888
DP	0	355	0	0.000000	9	0.003398
DP	0	356	0	0.000000	8	0.003021
DP	0	357	0	0.000000	4	0.001510
DP	0	358	0	0.000000	5	0.001888
DP	0	359	0	0.000000	8	0.003021
DP	0	360	0	0.000000	5	0.001888
DP	0	361	0	0.000000	8	0.003021
DP	0	362	0	0.000000	5	0.001888
DP	0	363	0	0.000000	13	0.004908
DP	0	364	0	0.000000	9	0.003398
DP	0	365	0	0.000000	9	0.003398
DP	0	366	0	0.000000	8	0.003021
DP	0	367	0	0.000000	3	0.001133
DP	0	368	0	0.000000	17	0.006419
DP	0	369	0	0.000000	6	0.002265
DP	0	370	0	0.000000	17	0.006419
DP	0	371	0	0.000000	5	0.001888
DP	0	372	0	0.000000	11	0.004153
DP	0	373	0	0.000000	11	0.004153
DP	0	374	0	0.000000	9	0.003398
DP	0	375	0	0.000000	9	0.003398
DP	0	376	0	0.000000	6	0.002265
DP	0	377	0	0.000000	4	0.001510
DP	0	378	0	0.000000	7	0.002643
DP	0	379	0	0.000000	3	0.001133
DP	0	380	0	0.000000	7	0.002643
DP	0	381	0	0.000000	10	0.003776
DP	0	382	0	0.000000	3	0.001133
DP	0	383	0	0.000000	9	0.003398
DP	0	384	0	0.000000	3	0.001133
DP	0	385	0	0.000000	3	0.001133
DP	0	386	0	0.000000	7	0.002643
DP	0	387	0	0.000000	8	0.003021
DP	0	388	0	0.000000	14	0.005286
DP	0	389	0	0.000000	4	0.001510
DP	0	390	0	0.000000	10	0.003776
DP	0	391	0	0.000000	3	0.001133
DP	0	392	0	0.000000	8	0.003021
DP	0	393	0	0.000000	12	0.004531
DP	0	394	0	0.000000	9	0.003398
DP	0	395	0	0.000000	8	0.003021
DP	0	396	0	0.000000	8	0.003021
DP	0	397	0	0.000000	10	0.003776
DP	0	398	0	0.000000	12	0.004531
DP	0	399	0	0.000000	13	0.004908
DP	0	400	0	0.000000	10	0.003776
DP	0	401	0	0.000000	7	0.002643
DP	0	402	0	0.000000	15	0.005664
DP	0	403	0	0.000000	9	0.003398
DP	0	404	0	0.000000	10	0.003776
DP	0	405	0	0.000000	7	0.002643
DP	0	406	0	0.000000	6	0.002265
DP	0	407	0	0.000000	5	0.001888
DP	0	408	0	0.000000	7	0.002643
DP	0	409	0	0.000000	4	0.001510
DP	0	410	0	0.000000	7	0.002643
DP	0	411	0	0.000000	13	0.004908
DP	0	412	0	0.000000	3	0.001133
DP	0	413	0	0.000000	6	0.002265
DP	0	414	0	0.000000	9	0.003398
DP	0	415	0	0.000000	5	0.001888
DP	0	416	0	0.000000	5	0.001888
DP	0	417	0	0.000000	7	0.002643
DP	0	418	0	0.000000	15	0.005664
DP	0	419	0	0.000000	7	0.002643
DP	0	420	0	0.000000	9	0.003398
DP	0	421	0	0.000000	10	0.003776
DP	0	422	0	0.000000	2	0.000755
DP	0	423	0	0.000000	13	0.004908
DP	0	424	0	0.000000	4	0.001510
DP	0	425	0	0.000000	7	0.002643
DP	0	426	0	0.000000	10	0.003776
DP	0	427	0	0.000000	10	0.003776
DP	0	428	0	0.000000	11	0.004153
DP	0	429	0	0.000000	7	0.002643
DP	0	430	0	0.000000	3	0.001133
DP	0	431	0	0.000000	10	0.003776
DP	0	432	0	0.000000	2	0.000755
DP	0	433	0	0.000000	5	0.001888
DP	0	434	0	0.000000	4	0.001510
DP	0	435	0	0.000000	1	0.000378
DP	0	436	0	0.000000	6	0.002265
DP	0	437	0	0.000000	2	0.000755
DP	0	438	0	0.000000	6	0.002265
DP	0	439	0	0.000000	3	0.001133
DP	0	440	0	0.000000	8	0.003021
DP	0	441	0	0.000000	10	0.003776
DP	0	442	0	0.000000	15	0.005664
DP	0	443	0	0.000000	5	0.001888
DP	0	444	0	0.000000	14	0.005286
DP	0	445	0	0.000000	9	0.003398
DP	0	446	0	0.000000	4	0.001510
DP	0	447	0	0.000000	12	0.004531
DP	0	448	0	0.000000	7	0.002643
DP	0	449	0	0.000000	7	0.002643
DP	0	450	0	0.000000	8	0.003021
DP	0	451	0	0.000000	7	0.002643
DP	0	452	0	0.000000	3	0.001133
DP	0	453	0	0.000000	9	0.003398
DP	0	454	0	0.000000	3	0.001133
DP	0	455	0	0.000000	5	0.001888
DP	0	456	0	0.000000	13	0.004908
DP	0	457	0	0.000000	8	0.003021
DP	0	458	0	0.000000	7	0.002643
DP	0	459	0	0.000000	13	0.004908
DP	0	460	0	0.000000	7	0.002643
DP	0	461	0	0.000000	4	0.001510
DP	0	462	0	0.000000	7	0.002643
DP	0	463	0	0.000000	9	0.003398
DP	0	464	0	0.000000	7	0.002643
DP	0	465	0	0.000000	4	0.001510
DP	0	466	0	0.000000	7	0.002643
DP	0	467	0	0.000000	8	0.003021
DP	0	468	0	0.000000	10	0.003776
DP	0	469	0	0.000000	5	0.001888
DP	0	470	0	0.000000	3	0.001133
DP	0	471	0	0.000000	3	0.001133
DP	0	472	0	0.000000	4	0.001510
DP	0	473	0	0.000000	2	0.000755
DP	0	474	0	0.000000	3	0.001133
DP	0	475	0	0.000000	7	0.002643
DP	0	476	0	0.000000	2	0.000755
DP	0	477	0	0.000000	8	0.003021
DP	0	478	0	0.000000	3	0.001133
DP	0	479	0	0.000000	1	0.000378
DP	0	480	0	0.000000	4	0.001510
DP	0	481	0	0.000000	11	0.004153
DP	0	482	0	0.000000	1	0.000378
DP	0	483	0	0.000000	3	0.001133
DP	0	484	0	0.000000	5	0.001888
DP	0	485	0	0.000000	5	0.001888
DP	0	486	0	0.000000	12	0.004531
DP	0	487	0	0.000000	5	0.001888
DP	0	488	0	0.000000	3	0.001133
DP	0	489	0	0.000000	5	0.001888
DP	0	490	0	0.000000	8	0.003021
DP	0	491	0	0.000000	1	0.000378
DP	0	492	0	0.000000	2	0.000755
DP	0	493	0	0.000000	4	0.001510
DP	0	494	0	0.000000	2	0.000755
DP	0	495	0	0.000000	1	0.000378
DP	0	496	0	0.000000	2	0.000755
DP	0	497	0	0.000000	2	0.000755
DP	0	498	0	0.000000	5	0.001888
DP	0	499	0	0.000000	2	0.000755
DP	0	500	0	0.000000	3	0.001133
DP	0	501	0	0.000000	2	0.000755
DP	0	502	0	0.000000	3	0.001133
DP	0	503	0	0.000000	2	0.000755
DP	0	504	0	0.000000	3	0.001133
DP	0	505	0	0.000000	7	0.002643
DP	0	506	0	0.000000	1	0.000378
DP	0	507	0	0.000000	2	0.000755
DP	0	508	0	0.000000	2	0.000755
DP	0	509	0	0.000000	1	0.000378
DP	0	511	0	0.000000	2	0.000755
DP	0	512	0	0.000000	3	0.001133
DP	0	513	0	0.000000	1	0.000378
DP	0	514	0	0.000000	4	0.001510
DP	0	515	0	0.000000	5	0.001888
DP	0	516	0	0.000000	1	0.000378
DP	0	518	0	0.000000	3	0.001133
DP	0	519	0	0.000000	2	0.000755
DP	0	520	0	0.000000	1	0.000378
DP	0	521	0	0.000000	2	0.000755
DP	0	523	0	0.000000	2	0.000755
DP	0	524	0	0.000000	1	0.000378
DP	0	525	0	0.000000	1	0.000378
DP	0	526	0	0.000000	5	0.001888
DP	0	527	0	0.000000	5	0.001888
DP	0	528	0	0.000000	3	0.001133
DP	0	529	0	0.000000	3	0.001133
DP	0	530	0	0.000000	2	0.000755
DP	0	531	0	0.000000	4	0.001510
DP	0	532	0	0.000000	2	0.000755
DP	0	533	0	0.000000	2	0.000755
DP	0	534	0	0.000000	3	0.001133
DP	0	535	0	0.000000	1	0.000378
DP	0	536	0	0.000000	2	0.000755
DP	0	538	0	0.000000	4	0.001510
DP	0	539	0	0.000000	4	0.001510
DP	0	540	0	0.000000	5	0.001888
DP	0	542	0	0.000000	1	0.000378
DP	0	543	0	0.000000	3	0.001133
