QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	386	50	24	21	3
QUAL	0	387	79	40	26	4
QUAL	0	388	97	36	35	6
QUAL	0	389	68	33	20	1
QUAL	0	390	64	30	21	6
QUAL	0	391	68	28	29	2
QUAL	0	392	69	29	26	2
QUAL	0	393	63	20	27	6
QUAL	0	394	83	39	28	3
QUAL	0	395	66	35	15	5
QUAL	0	396	61	32	16	3
QUAL	0	397	70	25	31	5
QUAL	0	398	39	16	12	3
QUAL	0	399	65	37	17	4
QUAL	0	400	59	14	32	7
QUAL	0	401	60	29	21	3
QUAL	0	402	63	19	22	2
QUAL	0	403	54	19	22	5
QUAL	0	404	64	37	17	4
QUAL	0	405	45	21	16	3
QUAL	0	406	62	36	18	6
QUAL	0	407	83	45	26	5
QUAL	0	408	49	28	11	2
QUAL	0	409	56	22	24	4
QUAL	0	410	56	32	19	1
QUAL	0	411	70	34	27	7
QUAL	0	412	59	34	21	6
QUAL	0	413	47	21	18	3
QUAL	0	414	80	37	26	4
QUAL	0	415	53	18	27	0
QUAL	0	416	54	26	19	2
QUAL	0	417	63	32	18	2
QUAL	0	418	58	24	21	6
QUAL	0	419	54	23	16	3
QUAL	0	420	67	23	29	7
QUAL	0	421	58	34	17	1
QUAL	0	422	53	24	17	3
QUAL	0	423	54	23	26	1
QUAL	0	424	66	33	16	7
QUAL	0	425	52	24	24	3
QUAL	0	426	53	27	16	2
QUAL	0	427	69	36	19	3
QUAL	0	428	55	23	21	0
QUAL	0	429	52	24	16	2
QUAL	0	430	69	35	14	3
QUAL	0	431	68	36	22	4
QUAL	0	432	58	26	19	7
QUAL	0	433	56	24	23	0
QUAL	0	434	75	40	22	2
QUAL	0	435	60	28	23	2
QUAL	0	436	55	28	19	6
QUAL	0	437	67	32	19	5
QUAL	0	438	50	24	16	4
QUAL	0	439	53	20	22	3
QUAL	0	440	75	30	24	4
QUAL	0	441	59	21	24	4
QUAL	0	442	62	29	22	4
QUAL	0	443	45	19	20	7
QUAL	0	444	53	26	14	4
QUAL	0	445	58	31	18	1
QUAL	0	446	55	23	16	3
QUAL	0	447	54	24	19	3
QUAL	0	448	40	12	15	3
QUAL	0	449	59	23	27	8
QUAL	0	450	46	28	8	1
QUAL	0	451	40	23	8	3
QUAL	0	452	48	23	17	4
QUAL	0	453	36	14	17	3
