Intensity Value	Number of Pixels
  163.00000	85
  107.07399	0
  107.16337	0
  107.25275	0
  107.34212	0
  107.43150	0
  107.52088	0
  107.61026	0
  107.69963	0
  107.78901	0
  107.87839	0
  164.00000	89
  108.05714	0
  108.14652	0
  108.23590	0
  108.32527	0
  108.41465	0
  108.50403	0
  108.59341	0
  108.68278	0
  108.77216	0
  108.86154	0
  165.00000	75
  109.04029	0
  109.12967	0
  109.21905	0
  109.30842	0
  109.39780	0
  109.48718	0
  109.57656	0
  109.66593	0
  109.75531	0
  109.84469	0
  166.00000	97
  110.02344	0
  110.11282	0
  110.20220	0
  110.29158	0
  110.38095	0
  110.47033	0
  110.55971	0
  110.64908	0
  110.73846	0
  110.82784	0
  167.00000	93
  111.00659	0
  111.09597	0
  111.18535	0
  111.27473	0
  111.36410	0
  111.45348	0
  111.54286	0
  111.63223	0
  111.72161	0
  111.81099	0
  111.90037	0
  168.00000	76
  112.07912	0
  112.16850	0
  112.25788	0
  112.34725	0
  112.43663	0
  112.52601	0
  112.61538	0
  112.70476	0
  112.79414	0
  112.88352	0
  169.00000	79
  113.06227	0
  113.15165	0
  113.24103	0
  113.33040	0
  113.41978	0
  113.50916	0
  113.59853	0
  113.68791	0
  113.77729	0
  113.86667	0
  170.00000	52
  114.04542	0
  114.13480	0
  114.22418	0
  114.31355	0
  114.40293	0
  114.49231	0
  114.58168	0
  114.67106	0
  114.76044	0
  114.84982	0
  171.00000	72
  115.02857	0
  115.11795	0
  115.20733	0
  115.29670	0
  115.38608	0
  115.47546	0
  115.56484	0
  115.65421	0
  115.74359	0
  115.83297	0
  172.00000	59
  116.01172	0
  116.10110	0
  116.19048	0
  116.27985	0
  116.36923	0
  116.45861	0
  116.54799	0
  116.63736	0
  116.72674	0
  116.81612	0
  116.90549	0
  173.00000	76
  117.08425	0
  117.17363	0
  117.26300	0
  117.35238	0
  117.44176	0
  117.53114	0
  117.62051	0
  117.70989	0
  117.79927	0
  117.88864	0
  174.00000	69
  118.06740	0
  118.15678	0
  118.24615	0
  118.33553	0
  118.42491	0
  118.51429	0
  118.60366	0
  118.69304	0
  118.78242	0
  118.87179	0
  175.00000	69
  119.05055	0
  119.13993	0
  119.22930	0
  119.31868	0
  119.40806	0
  119.49744	0
  119.58681	0
  119.67619	0
  119.76557	0
  119.85495	0
  176.00000	64
  120.03370	0
  120.12308	0
  120.21245	0
  120.30183	0
  120.39121	0
  120.48059	0
  120.56996	0
  120.65934	0
  120.74872	0
  120.83810	0
  177.00000	65
  121.01685	0
  121.10623	0
  121.19560	0
  121.28498	0
  121.37436	0
  121.46374	0
  121.55311	0
  121.64249	0
  121.73187	0
  121.82125	0
  121.91062	0
  178.00000	76
  122.08938	0
  122.17875	0
  122.26813	0
  122.35751	0
  122.44689	0
  122.53626	0
  122.62564	0
  122.71502	0
  122.80440	0
  122.89377	0
  179.00000	63
  123.07253	0
  123.16190	0
  123.25128	0
  123.34066	0
  123.43004	0
  123.51941	0
  123.60879	0
  123.69817	0
  123.78755	0
  123.87692	0
  180.00000	67
  124.05568	0
  124.14505	0
  124.23443	0
  124.32381	0
  124.41319	0
  124.50256	0
  124.59194	0
  124.68132	0
  124.77070	0
  124.86007	0
  181.00000	66
  125.03883	0
  125.12821	0
  125.21758	0
  125.30696	0
  125.39634	0
  125.48571	0
  125.57509	0
  125.66447	0
  125.75385	0
  125.84322	0
  182.00000	63
  126.02198	0
  126.11136	0
  126.20073	0
  126.29011	0
  126.37949	0
  126.46886	0
  126.55824	0
  126.64762	0
  126.73700	0
  126.82637	0
  183.00000	60
  127.00513	0
  127.09451	0
  127.18388	0
  127.27326	0
  127.36264	0
  127.45201	0
  127.54139	0
  127.63077	0
  127.72015	0
  127.80952	0
  127.89890	0
  184.00000	73
  128.07766	0
  128.16703	0
  128.25641	0
  128.34579	0
  128.43516	0
  128.52454	0
  128.61392	0
  128.70330	0
  128.79267	0
  128.88205	0
  185.00000	63
  129.06081	0
  129.15018	0
  129.23956	0
  129.32894	0
  129.41832	0
  129.50769	0
  129.59707	0
  129.68645	0
  129.77582	0
  129.86520	0
  186.00000	55
  130.04396	0
  130.13333	0
  130.22271	0
  130.31209	0
  130.40147	0
  130.49084	0
  130.58022	0
  130.66960	0
  130.75897	0
  130.84835	0
  187.00000	64
  131.02711	0
  131.11648	0
  131.20586	0
  131.29524	0
  131.38462	0
  131.47399	0
  131.56337	0
  131.65275	0
  131.74212	0
  131.83150	0
  188.00000	47
  132.01026	0
  132.09963	0
  132.18901	0
  132.27839	0
  132.36777	0
  132.45714	0
  132.54652	0
  132.63590	0
  132.72527	0
  132.81465	0
  132.90403	0
  189.00000	62
  133.08278	0
  133.17216	0
  133.26154	0
  133.35092	0
  133.44029	0
  133.52967	0
  133.61905	0
  133.70842	0
  133.79780	0
  133.88718	0
  190.00000	67
  134.06593	0
  134.15531	0
  134.24469	0
  134.33407	0
  134.42344	0
  134.51282	0
  134.60220	0
  134.69158	0
  134.78095	0
  134.87033	0
  191.00000	62
  135.04908	0
  135.13846	0
  135.22784	0
  135.31722	0
  135.40659	0
  135.49597	0
  135.58535	0
  135.67473	0
  135.76410	0
  135.85348	0
  192.00000	53
  136.03223	0
  136.12161	0
  136.21099	0
  136.30037	0
  136.38974	0
  136.47912	0
  136.56850	0
