DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	358	76	0.012631	61	0.070968
DP	0	359	95	0.015789	59	0.068641
DP	0	360	100	0.016620	61	0.070968
DP	0	361	78	0.012964	58	0.067478
DP	0	362	66	0.010969	41	0.047700
DP	0	363	98	0.016288	63	0.073295
DP	0	364	97	0.016122	50	0.058171
DP	0	365	78	0.012964	54	0.062824
DP	0	366	80	0.013296	49	0.057007
DP	0	367	94	0.015623	59	0.068641
DP	0	368	78	0.012964	58	0.067478
DP	0	369	94	0.015623	50	0.058171
DP	0	370	79	0.013130	45	0.052354
DP	0	371	73	0.012133	59	0.068641
DP	0	372	55	0.009141	52	0.060497
DP	0	373	86	0.014293	55	0.063988
DP	0	374	69	0.011468	49	0.057007
DP	0	375	82	0.013629	53	0.061661
DP	0	376	80	0.013296	49	0.057007
DP	0	377	66	0.010969	65	0.075622
DP	0	378	74	0.012299	60	0.069805
DP	0	379	58	0.009640	60	0.069805
DP	0	380	76	0.012631	47	0.054680
DP	0	381	84	0.013961	55	0.063988
DP	0	382	71	0.011800	62	0.072132
DP	0	383	75	0.012465	53	0.061661
DP	0	384	71	0.011800	48	0.055844
DP	0	385	75	0.012465	53	0.061661
DP	0	386	70	0.011634	60	0.069805
DP	0	387	78	0.012964	50	0.058171
DP	0	388	67	0.011136	48	0.055844
DP	0	389	56	0.009307	51	0.059334
DP	0	390	84	0.013961	49	0.057007
DP	0	391	79	0.013130	50	0.058171
DP	0	392	57	0.009474	47	0.054680
DP	0	393	78	0.012964	44	0.051190
DP	0	394	87	0.014460	57	0.066315
DP	0	395	83	0.013795	51	0.059334
DP	0	396	81	0.013462	44	0.051190
DP	0	397	65	0.010803	44	0.051190
DP	0	398	63	0.010471	39	0.045373
DP	0	399	79	0.013130	41	0.047700
DP	0	400	60	0.009972	40	0.046537
DP	0	401	77	0.012798	46	0.053517
DP	0	402	82	0.013629	65	0.075622
DP	0	403	74	0.012299	41	0.047700
DP	0	404	71	0.011800	37	0.043046
DP	0	405	61	0.010138	55	0.063988
DP	0	406	69	0.011468	54	0.062824
DP	0	407	54	0.008975	32	0.037229
DP	0	408	58	0.009640	49	0.057007
DP	0	409	61	0.010138	47	0.054680
DP	0	410	66	0.010969	36	0.041883
DP	0	411	62	0.010305	39	0.045373
DP	0	412	75	0.012465	31	0.036066
DP	0	413	74	0.012299	37	0.043046
DP	0	414	79	0.013130	50	0.058171
DP	0	415	57	0.009474	45	0.052354
DP	0	416	72	0.011967	52	0.060497
DP	0	417	60	0.009972	45	0.052354
DP	0	418	65	0.010803	40	0.046537
DP	0	419	57	0.009474	41	0.047700
DP	0	420	73	0.012133	44	0.051190
DP	0	421	73	0.012133	51	0.059334
DP	0	422	73	0.012133	53	0.061661
DP	0	423	77	0.012798	40	0.046537
DP	0	424	60	0.009972	43	0.050027
DP	0	425	61	0.010138	45	0.052354
DP	0	426	67	0.011136	40	0.046537
DP	0	427	77	0.012798	53	0.061661
DP	0	428	67	0.011136	46	0.053517
DP	0	429	48	0.007978	35	0.040719
DP	0	430	67	0.011136	41	0.047700
DP	0	431	64	0.010637	46	0.053517
DP	0	432	56	0.009307	50	0.058171
DP	0	433	58	0.009640	37	0.043046
DP	0	434	46	0.007645	43	0.050027
DP	0	435	55	0.009141	39	0.045373
DP	0	436	60	0.009972	40	0.046537
DP	0	437	69	0.011468	44	0.051190
DP	0	438	69	0.011468	39	0.045373
DP	0	439	66	0.010969	51	0.059334
DP	0	440	67	0.011136	43	0.050027
DP	0	441	54	0.008975	46	0.053517
DP	0	442	55	0.009141	53	0.061661
DP	0	443	59	0.009806	37	0.043046
DP	0	444	42	0.006980	42	0.048863
DP	0	445	48	0.007978	38	0.044210
DP	0	446	51	0.008476	46	0.053517
DP	0	447	40	0.006648	41	0.047700
DP	0	448	40	0.006648	33	0.038393
DP	0	449	55	0.009141	45	0.052354
DP	0	450	58	0.009640	57	0.066315
DP	0	451	38	0.006316	42	0.048863
DP	0	452	70	0.011634	44	0.051190
DP	0	453	62	0.010305	41	0.047700
DP	0	454	59	0.009806	42	0.048863
DP	0	455	60	0.009972	35	0.040719
DP	0	456	58	0.009640	32	0.037229
DP	0	457	46	0.007645	30	0.034902
DP	0	458	52	0.008642	28	0.032576
DP	0	459	49	0.008144	39	0.045373
DP	0	460	36	0.005983	51	0.059334
DP	0	461	55	0.009141	45	0.052354
